index,source_url,video_id,canonical_url,user_start_line,user_end_line,gemini_start_line,gemini_end_line,response_file,response_url_mentions
1,Https://youtu.be/MPrsqdDKlis?si=cwuFWyZN8QGAdRuO,MPrsqdDKlis,https://www.youtube.com/watch?v=MPrsqdDKlis,4,259,261,284,responses/001-MPrsqdDKlis.md,
2,https://youtu.be/udCe_tvhBWc?si=1o1lPOhFsTN0KuC-,udCe_tvhBWc,https://www.youtube.com/watch?v=udCe_tvhBWc,286,543,545,574,responses/002-udCe_tvhBWc.md,https://youtu.be/udCe_tvhBWc?si=1o1lPOhFsTN0KuC-
3,Https://youtu.be/BjimpUpqPtY?si=2-wj50C0mrbS00VR,BjimpUpqPtY,https://www.youtube.com/watch?v=BjimpUpqPtY,576,831,833,861,responses/003-BjimpUpqPtY.md,
4,https://youtu.be/GB-lsKRiFoI?si=voOBEkB__1vDvPIU,GB-lsKRiFoI,https://www.youtube.com/watch?v=GB-lsKRiFoI,863,1120,1122,1149,responses/004-GB-lsKRiFoI.md,
5,Https://youtu.be/QptwxcByzTI?si=YFBwsh1v7IwRL9xt,QptwxcByzTI,https://www.youtube.com/watch?v=QptwxcByzTI,1151,1406,1408,1440,responses/005-QptwxcByzTI.md,
6,Https://youtu.be/WIXJrdjG8RY?si=bY9HnzlJPiuYWG0l,WIXJrdjG8RY,https://www.youtube.com/watch?v=WIXJrdjG8RY,1442,1697,1699,1726,responses/006-WIXJrdjG8RY.md,
7,https://youtu.be/X-KzyPRdcmc?si=SoPTzNG84jMX8QE2,X-KzyPRdcmc,https://www.youtube.com/watch?v=X-KzyPRdcmc,1728,1985,1987,2019,responses/007-X-KzyPRdcmc.md,
8,Https://youtu.be/lztG2TjPHhI?si=5SdEeY5_iAb1-VG0,lztG2TjPHhI,https://www.youtube.com/watch?v=lztG2TjPHhI,2057,2312,2314,2348,responses/008-lztG2TjPHhI.md,http://www.youtube.com/watch?v=lztG2TjPHhI
9,Https://www.youtube.com/live/vW7Jc8Xz6Lc?si=tCkQACoqhv5sgktU,vW7Jc8Xz6Lc,https://www.youtube.com/watch?v=vW7Jc8Xz6Lc,2386,2641,2643,2686,responses/009-vW7Jc8Xz6Lc.md,http://www.youtube.com/watch?v=vW7Jc8Xz6Lc
10,Https://youtu.be/WDIxi90DagY?si=t0Xy4wIXucU6V9U4,WDIxi90DagY,https://www.youtube.com/watch?v=WDIxi90DagY,2688,2943,2945,2974,responses/010-WDIxi90DagY.md,http://www.youtube.com/watch?v=WDIxi90DagY
11,Https://youtu.be/cYZFAr9fHDQ?si=IYLUq0Sjx_ALN0Z9,cYZFAr9fHDQ,https://www.youtube.com/watch?v=cYZFAr9fHDQ,2976,3231,3233,3271,responses/011-cYZFAr9fHDQ.md,http://www.youtube.com/watch?v=cYZFAr9fHDQ
12,https://youtu.be/YYtoxKoMW0o?si=EfnnwNAegq2BUd45,YYtoxKoMW0o,https://www.youtube.com/watch?v=YYtoxKoMW0o,3273,3530,3532,3571,responses/012-YYtoxKoMW0o.md,http://www.youtube.com/watch?v=YYtoxKoMW0o
